work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Cyber Security Architect,255000,USD,255000,United States,0,United States,L
2023,SE,FT,Security Operations Engineer,230000,USD,230000,United States,100,United States,M
2023,SE,FT,Security Operations Engineer,185000,USD,185000,United States,100,United States,M
2023,SE,FT,Security Researcher,172590,USD,172590,United States,0,United States,M
2023,SE,FT,Security Researcher,120000,USD,120000,United States,0,United States,M
2023,SE,FT,Security Lead,165000,USD,165000,United States,0,United States,M
2023,SE,FT,Security Lead,125000,USD,125000,United States,0,United States,M
2023,SE,FT,Security Engineer,277000,USD,277000,United States,100,United States,M
2023,SE,FT,Security Engineer,198000,USD,198000,United States,100,United States,M
2023,SE,FT,Technical Consultant,215050,USD,215050,United States,0,United States,M
2023,SE,FT,Technical Consultant,113100,USD,113100,United States,0,United States,M
2023,SE,FT,Security Engineer,247600,USD,247600,United States,0,United States,L
2023,SE,FT,Security Engineer,136000,USD,136000,United States,0,United States,L
2023,SE,FT,Security Engineer,241000,USD,241000,United States,100,United States,M
2023,SE,FT,Security Engineer,172000,USD,172000,United States,100,United States,M
2023,SE,FT,Security Engineer,212800,USD,212800,United States,0,United States,L
2023,SE,FT,Security Engineer,135500,USD,135500,United States,0,United States,L
2023,SE,FT,DevSecOps Engineer,180000,USD,180000,United States,0,United States,M
2023,SE,FT,DevSecOps Engineer,120000,USD,120000,United States,0,United States,M
2023,SE,FT,Security Engineer,183000,USD,183000,United States,100,United States,M
2023,SE,FT,Security Engineer,144500,USD,144500,United States,100,United States,M
2023,SE,FT,Compliance Specialist,210400,USD,210400,United States,0,United States,L
2023,SE,FT,Compliance Specialist,127300,USD,127300,United States,0,United States,L
2023,SE,FT,Security Engineer,148000,USD,148000,United States,0,United States,M
2023,SE,FT,Security Engineer,99000,USD,99000,United States,0,United States,M
2023,MI,FT,Security Lead,52000,GBP,63980,Netherlands,0,Netherlands,M
2023,MI,FT,Security Lead,42000,GBP,51676,Netherlands,0,Netherlands,M
2023,MI,FT,Security Engineer,235400,USD,235400,United States,0,United States,M
2023,MI,FT,Security Engineer,145500,USD,145500,United States,0,United States,M
2023,SE,FT,Security Engineer,178000,USD,178000,United States,100,United States,M
2023,SE,FT,Security Engineer,168000,USD,168000,United States,100,United States,M
2023,SE,FT,Compliance Manager,204500,USD,204500,United States,0,United States,M
2023,SE,FT,Compliance Manager,95800,USD,95800,United States,0,United States,M
2023,MI,FT,Security Engineer,148000,USD,148000,United States,100,United States,M
2023,MI,FT,Security Engineer,100000,USD,100000,United States,100,United States,M
2023,SE,FT,Security Engineer,200000,USD,200000,United States,0,United States,M
2023,SE,FT,Security Engineer,150000,USD,150000,United States,0,United States,M
2023,MI,FT,Compliance Manager,129000,USD,129000,United States,0,United States,M
2023,MI,FT,Compliance Manager,103000,USD,103000,United States,0,United States,M
2023,SE,FT,Security Engineer,313400,USD,313400,United States,0,United States,M
2023,SE,FT,Security Engineer,241340,USD,241340,United States,0,United States,M
2023,SE,FT,Security Engineer,232800,USD,232800,United States,0,United States,L
2023,SE,FT,Security Engineer,136000,USD,136000,United States,0,United States,L
2022,MI,FT,Detection Engineer,120000,EUR,126080,France,100,United States,L
2023,SE,FT,Technical Consultant,50000,GBP,61520,United Kingdom,100,United Kingdom,M
2023,SE,FT,Technical Consultant,40000,GBP,49216,United Kingdom,100,United Kingdom,M
2023,EN,FT,Information Security Manager,180000,USD,180000,United States,0,United States,M
2023,EN,FT,Information Security Manager,100000,USD,100000,United States,0,United States,M
2023,SE,FT,Security Engineer,136000,USD,136000,United States,0,United States,M
2023,SE,FT,Security Engineer,91000,USD,91000,United States,0,United States,M
2023,SE,FT,Security Analytics Lead,100000,USD,100000,United States,50,United States,L
2023,EX,FT,Information Security Officer,265000,USD,265000,United States,100,United States,M
2023,EX,FT,Information Security Officer,225000,USD,225000,United States,100,United States,M
2023,SE,FT,Security Analyst,102793,USD,102793,United States,0,United States,M
2023,SE,FT,Security Analyst,71281,USD,71281,United States,0,United States,M
2023,SE,FT,Cyber Security Specialist,98235,CAD,72779,Canada,0,Canada,M
2023,SE,FT,Cyber Security Specialist,83500,CAD,61862,Canada,0,Canada,M
2023,SE,FT,Compliance Specialist,185000,USD,185000,United States,0,United States,L
2023,SE,FT,Compliance Specialist,91800,USD,91800,United States,0,United States,L
2023,SE,FT,Security Engineer,205000,USD,205000,United States,0,United States,M
2023,SE,FT,Security Engineer,167500,USD,167500,United States,0,United States,M
2023,SE,FT,Security Engineer,212800,USD,212800,United States,0,United States,L
2023,SE,FT,Security Engineer,135500,USD,135500,United States,0,United States,L
2023,SE,FT,Security Consultant,145000,USD,145000,United States,0,United States,M
2023,SE,FT,Security Consultant,125000,USD,125000,United States,0,United States,M
2023,SE,FT,Security Engineer,283780,USD,283780,United States,0,United States,M
2023,SE,FT,Security Engineer,218540,USD,218540,United States,0,United States,M
2023,SE,FT,Security Software Engineer,247600,USD,247600,United States,0,United States,L
2023,SE,FT,Security Software Engineer,136000,USD,136000,United States,0,United States,L
2023,SE,FT,Security Engineer,300000,USD,300000,United States,0,United States,M
2023,SE,FT,Security Engineer,130000,USD,130000,United States,0,United States,M
2023,EX,FT,Information Security Officer,350000,USD,350000,United States,0,United States,M
2023,EX,FT,Information Security Officer,200000,USD,200000,United States,0,United States,M
2023,SE,FT,DevSecOps Engineer,214500,USD,214500,United States,0,United States,M
2023,SE,FT,DevSecOps Engineer,150000,USD,150000,United States,0,United States,M
2023,SE,FT,Security Engineer,212800,USD,212800,United States,0,United States,L
2023,SE,FT,Security Engineer,135500,USD,135500,United States,0,United States,L
